-128.60628,-129.97331,-10.785543_-110.97636,-112.343376,-10.785543
-128.60628,-129.97331,6.844384_-110.97636,-112.343376,6.844384
-128.60628,-129.97331,24.474312_-110.97636,-112.343376,24.474312
-128.60628,-129.97331,42.10424_-110.97636,-112.343376,42.10424
-128.60628,-129.97331,59.73417_-110.97636,-112.343376,59.73417
-128.60628,-112.343376,-10.785543_-110.97636,-94.713455,-10.785543
-128.60628,-112.343376,6.844384_-110.97636,-94.713455,6.844384
-128.60628,-112.343376,24.474312_-110.97636,-94.713455,24.474312
-128.60628,-112.343376,42.10424_-110.97636,-94.713455,42.10424
-128.60628,-112.343376,59.73417_-110.97636,-94.713455,59.73417
-128.60628,-94.713455,-10.785543_-110.97636,-77.08353,-10.785543
-128.60628,-94.713455,6.844384_-110.97636,-77.08353,6.844384
-128.60628,-94.713455,24.474312_-110.97636,-77.08353,24.474312
-128.60628,-94.713455,42.10424_-110.97636,-77.08353,42.10424
-128.60628,-94.713455,59.73417_-110.97636,-77.08353,59.73417
-128.60628,-77.08353,-10.785543_-110.97636,-59.453594,-10.785543
-128.60628,-77.08353,6.844384_-110.97636,-59.453594,6.844384
-128.60628,-77.08353,24.474312_-110.97636,-59.453594,24.474312
-128.60628,-77.08353,42.10424_-110.97636,-59.453594,42.10424
-128.60628,-77.08353,59.73417_-110.97636,-59.453594,59.73417
-128.60628,-59.453594,-10.785543_-110.97636,-41.82367,-10.785543
-128.60628,-59.453594,-10.785543_-124.19232,-39.019417,-13.1387205
-128.60628,-59.453594,6.844384_-110.97636,-41.82367,6.844384
-128.60628,-59.453594,6.844384_-124.19232,-39.019417,4.491207
-128.60628,-59.453594,24.474312_-110.97636,-41.82367,24.474312
-128.60628,-59.453594,24.474312_-124.19232,-39.019417,22.121136
-128.60628,-59.453594,42.10424_-110.97636,-41.82367,42.10424
-128.60628,-59.453594,42.10424_-124.19232,-39.019417,39.751064
-128.60628,-59.453594,59.73417_-110.97636,-41.82367,59.73417
-128.60628,-59.453594,59.73417_-124.19232,-39.019417,57.380993
-132.5206,135.61833,-8.737252_-127.391136,107.78071,-13.009573
-132.5206,135.61833,-8.737252_-114.89067,117.988396,-8.737252
-132.5206,135.61833,8.892675_-127.41558,107.92699,4.6289845
-132.5206,135.61833,8.892675_-114.89067,117.988396,8.892675
-132.5206,135.61833,26.522604_-127.4375,108.07117,22.267622
-132.5206,135.61833,26.522604_-114.89067,117.988396,26.522604
-132.5206,135.61833,26.522604_-127.47512,125.99116,39.915684
-132.5206,135.61833,44.15253_-127.457,108.2132,39.90633
-132.5206,135.61833,44.15253_-127.48839,126.113205,57.553482
-132.5206,135.61833,61.78246_-127.47418,108.35305,57.54509
-110.97636,-129.97331,-10.785543_-93.73985,-109.960785,-11.962132
-110.97636,-129.97331,6.844384_-93.73985,-109.960785,5.6677957
-110.97636,-129.97331,24.474312_-93.73985,-109.960785,23.297724
-110.97636,-129.97331,42.10424_-93.73985,-109.960785,40.92765
-110.97636,-129.97331,59.73417_-93.73985,-109.960785,58.55758
-110.97636,-112.343376,6.844384_-93.73985,-92.33086,5.6677957
-110.97636,-112.343376,24.474312_-93.73985,-92.33086,23.297724
-110.97636,-112.343376,42.10424_-93.73985,-92.33086,40.92765
-110.97636,-112.343376,59.73417_-93.73985,-92.33086,58.55758
-110.97636,-94.713455,-10.785543_-93.34643,-77.08353,-10.785543
-110.97636,-94.713455,6.844384_-93.73985,-74.70093,5.6677957
-110.97636,-94.713455,24.474312_-93.73985,-74.70093,23.297724
-110.97636,-94.713455,42.10424_-93.73985,-74.70093,40.92765
-110.97636,-94.713455,59.73417_-93.73985,-74.70093,58.55758
-110.97636,-77.08353,-10.785543_-93.34643,-59.453594,-10.785543
-110.97636,-77.08353,24.474312_-93.73985,-57.071,23.297724
